字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,地区
留言对象：河北省委书记倪岳峰,河北博物院的郭沫若手写信的电子版有错误,建言,文娱,办理中,2023-08-20 11:13,"尊敬的书记、办理机构：
你们好！
我在参观河北博物院的过程中，偶然发现馆内展板上郭沫若的手写信，旁边还有一块儿是手写信的电子版文字。然而，我仔细一看，发现电子版中存在一些漏子和错字。以下是错误所在之处：
1.原件中为“我和考古研究所的同志们”，电子版为“我和考古所同志们”；
2.原件中为“初步拟订”，电子版为“初步拟定”。
这种情况可能影响游客对相关历史文化的准确认知与了解，为了向游客传达更为准确的历史和文化信息，提升游客的参观体验，并表达对郭沫若先生的尊重和纪念，我建议有关部门安排专人按照手写信原件对电子版进行修改与校对，并对馆内其他文字也进行校对检查，及时更正有误信息，为游客提供更加准确、完整、精彩的文化展示，进一步增强人民群众的民族文化自信。
感谢您的关注此问题，祝愿河北省越来越好！",认领交办,2023-08-23 10:18,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,石家庄西兆通服务区希望原地提升新建，提升功能,建言,城建,已办理,2023-08-19 12:17,西兆通服务区，希望原地翻建，提升功能，改善样貌，该服务区，是我市内唯一服务区，体现着我市形象，希望领导重视，参照苏州阳澄湖服务区扩建，为本市建设更上新台阶,社情民意办公室,2023-08-28 09:21,您好！您的建议我们已转有关部门参考。感谢您的留言，欢迎您提出更多更好的意见和建议。,河北省
留言对象：河北省委书记倪岳峰,邯郸市广平县海鲜市场烂尾楼,建言,城建,办理中,2023-08-17 21:14,书记您好，我是河北省邯郸市广平县后大寨村人，我于2017年退伍，拿着退伍费在海鲜市场开发商刘*手里交了7万元购房合同，合同承诺3年之内交房，后来被县里认定违建，2017年至今为止迟迟没有动工，今年我因家里有事，借了不少钱，找他要钱也是不给，推脱了一年了还是不给，请书记找相关部门给我解决一下问题，我着急用钱还账，谢谢！,认领交办,2023-08-21 10:41,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邯郸市广平县
留言对象：河北省委书记倪岳峰,强化《正定县国土空间总体规划》,建言,城建,已办理,2023-08-17 20:39,领导好，根据《正定县国土空间总体规划（2021-2035）公示版》发布，根据《规划》，此次规划范围分为县域和中心城区两个层次。规划期限为2021年至2035年。《规划》提出，将在2025年初步建成具有国际知名度的古城和文化旅游目的地；到2035年，建成具有国际影响力的古城和文化旅游目的地；到2050年，全面建成现代化县域发展示范，成为优雅古朴、繁荣富裕、文明和谐、人民安居乐业的国家历史文化名城、现代产业承载区、城乡融合示范区。承担国际知名历史古城和文化旅游目的地、区域文化体育中心、国际物流枢纽和开放服务基地、数字经济产业高地和高新技术产业基地、河北省农业现代化示范基地、河北省新型城镇化和城乡统筹试验区等六项具体职能。本人建议进一步增化正定规划图，要把重点放在正定县的西边和东边的规划区域，在西边的村庄如（北贾村，永安，三角村，西刑家庄）也应该加入正定总体规划当中，这片区域建议可以向物流仓储型园区和综合型园区方向考虑一下，我们要“照顾”好正定县左膀右臂，家乡领导们幸苦了！,正定县委,2023-09-01 09:48,网民您好！接到留言后，正定县委高度重视，立即安排工作人员进行调查核实，现将结果回复如下：您的建言已收悉。经核实，《正定县国土空间规划（2021-2035年）》规划范围为正定县域，您所提及的区域位于规划范围内。根据《市县国土空间总体规划编制指南》要求：“城镇开发边界外不得进行城镇集中开发建设，不得设立各类开发区”。因该区域不在国土空间总体规划“三区三线”划定的城镇开发边界内，不可设立园区，应按照国土空间总体规划对全县村庄引导功能发展。感谢您对我们工作的理解与支持。,河北省唐山市高新
留言对象：河北省委书记倪岳峰,能否画斑马线,建言,交通,办理中,2023-08-17 16:31,我是张家口市张北县天著华府小区的居民，我们小区的西门出来的路口没画斑马线，希望有关部门可以给画上，来提醒路过的司机注意行人，提高我们小区居民步行的安全性,认领交办,2023-08-21 09:32,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省张家口市张北县
留言对象：河北省委书记倪岳峰,加大对农村义务教育阶段教育资源的倾斜,建言,教育,已办理,2023-08-16 12:16,"尊敬的书记，您好！教育是关乎到一个地方发展的百年大计。我省作为农业大省，农村地区的教育不容忽视。
建议：
1，提升农村地区的师资分配额度。改善农村地区的教师水平。扩大师范类的定向师范，公费师范的招生。建立生源地教师培养制度。（鼓励就近培养农村本地考生选择师范类专业并回乡任教。）
2，完善农村义务教育阶段学校的基础设施，改善老师的教学条件和居住伙食条件。
3，提高农村义务教育阶段教师的工资水平。对于农村义务教育阶段的教师根据相应的标准，困难程度等给予相应的补助。以更多的收入来吸引教师。
4，所在县区，乡镇协调帮助解决农村教师配偶，直系亲属的工作问题，同等条件下应当优先录取。并鼓励农村教师的直系亲属就地创业，给予创业扶持。
5，严格农村教师的调动条件的限制。增加农村教师调离年限的设置，同时加强农村教师调理教学水平的考核。调离后取消相应的补助和扶持，原来给予的补助予以收回。",河北省教育厅,2023-09-01 10:12,"网友您好：
    您的留言已收悉，我省高度重视加强农村教师队伍建设。2015年启动实施了乡村教师支持计划，近几年省教育厅紧扣让乡村教师“下得去、留得住、教得好”主线，不断加强农村教师队伍建设。一是着力优化乡村教师队伍结构。创新教师编制管理，完善乡村教师长效补充机制，实现教师校长交流走向制度化常态化，加强乡村小规模学校和寄宿制学校教师配备，加大公费师范生培养力度。二是加大农村教育投入力度。建立健全城乡统一、重在农村的义务教育经费保障机制，提高乡村教师地位待遇，增强职业吸引力。
   下一步，教育厅将会同有关部门，进一步完善义务教育保障措施，推进义务教育优质均衡发展和城乡一体化，加强乡村教师队伍建设，帮助提升乡村薄弱学校办学水平，为乡村振兴提供人力支持和智力支撑，感谢您的关注与支持。",河北省
留言对象：河北省委书记倪岳峰,河北省商转公业务,建言,城建,已办理,2023-08-16 11:49,目前全国各地鼓励消费，降低居民负担，各大城市放开尚转公业务办理，河北省商转公业务也建议开放，进一步促进经济发展，促进房地产健康发展,河北省住房和城乡建设厅,2023-08-28 15:24,"网友：
   您好！您通过《人民网》群众留言建议开办住房公积金贷款置换商业银行个人住房贷款（以下简称“商转公”）业务一事收悉，现将我省“商转公”业务执行情况说明如下：
  由于各地住房公积金管理运行情况不尽相同，各地住房公积金管委会可结合当地实际，依法依规研究确定是否开展“商转公”业务，具体情况可向当地管理部门咨询。
  感谢您对我省住房公积金管理工作的关注和支持！",河北省
留言对象：河北省委书记倪岳峰,建议上色修复,建言,旅游,办理中,2023-08-16 10:18,张家口市桥西区大境门景区城楼上的“大好河山”四个字，字体颜色部分脱落，影响大境门整体形象，建议尽快对“大好河山”这四个字的字体颜色进行上色修复,认领交办,2023-08-17 11:25,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省石家庄市桥西区
留言对象：河北省委书记倪岳峰,电子医保卡问题,建言,医疗,办理中,2023-08-15 22:03,我最近在就诊于河北医大三院（石家庄）和廊坊的医院、诊所，表示均无法使用电子凭证，那为什么当初还要办？医保局工作人员表示明确必须带医保卡门诊才能报销，住院不用带都行，希望能普及电子医保卡的使用。,认领交办,2023-08-17 11:28,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,河北暴雨洪水,建言,城建,办理中,2023-08-15 18:06,尊敬的领导，这次河北暴雨导致的洪水，作为河北的老百姓值得深思。这次保定的环城水系，在这一次的上游水库泄洪，起了不小的作用，老百姓看在眼里，热在心里。唯一不足之处就是希望保定市内的乐凯北大街以西的黄花沟河道两侧能够清理一些违建，拓宽一下河道，几周前的上游水库泄洪，乐凯北大街以西区域，黄花沟河道大水都漫过了河道。尤其西二环与北二环交叉口的河道，希望能够拓宽河道。,认领交办,2023-08-17 12:26,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省保定市
留言对象：河北省委书记倪岳峰,新华区70年代老旧小区改造,建言,城建,已办理,2023-08-15 17:02,"我多居住的石家庄市新华区儿童活动中心周围，大量的6,70年代的老破旧小区，平房，市场更是在这乱站乱摆，二轻局，荣军,地印，二建宿舍等，楼房破旧不堪，配套设施更是残缺不全，小平房有的已经坍塌无法住人，危险隐患无处不在，里面居住的大多是老人，市场的菜贩子，防范意识差，长话短说，希望领导来这里看看，能不能把这片的整改或重建提上日程，给我们一个安馨，舒适的居住环境，在这里感谢领导",新华区委,2023-08-28 15:28,"网民您好，接到留言后，新华区委高度重视，立即安排工作人员调查核实，现将结果回复如下：
经了解，目前该区域没有整改和重建计划。关于此区域占道经营问题，我区将加大整理力度，确保商户摊位规范经营。工作人员已与您取得联系，并进行了详细的解释说明。祝您生活愉快。",河北省沧州市新华区
留言对象：河北省委书记倪岳峰,交通不便利,建言,交通,已办理,2023-08-15 08:59,尊敬的领导您好：我是邯郸市普通一位市民，向您建言，到达邯郸高铁站下车以后想去对面中心站坐馆陶车去馆陶办事，只能穿过一条大马路，在烈日炎炎的暴晒之下十分不方便。后来和老乡聊天，发现不少老乡有这方面的想法：能不能在高铁出站口放置免费摆渡车？请尊敬的领导考虑为盼！,邯郸市委办公室,2023-08-21 17:49,网民您好！您的建议已转相关部门参阅。真诚地希望您继续关心邯郸的经济社会发展，提出宝贵的意见和建议。,河北省邯郸市邯郸
留言对象：河北省委书记倪岳峰,石家庄市人才b卡申领范围,建言,教育,办理中,2023-08-14 12:43,"回到石家庄工作，由于当时报考研究生学校是河北科技师范学院研究生。毕业以后回到石家庄工作无法申请市人才b卡，个人感觉位于秦皇岛的河北科技师范学院一直得不到河北省教育厅的重视，学校这几年教学质量一直上升，也获得了众多专业硕士学位授予，看到市人才b卡的申领范围，达不到标准。望省领导可以扩大申领范围，也是对学校的一个肯定。
    谢谢领导，祝领导工作愉快，身体健康。",认领交办,2023-08-18 09:16,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,辛集市河北一集改造项目,建言,城建,已办理,2023-08-14 12:09,房子7年了还没有交付，工程一直变更，都在拖拉施工，进度缓慢，一次次的都给购房户承诺，这么多年，就是无法交房，也不给退购房款,辛集市委办公室,2023-08-30 15:12,网友您好！您反映的问题已由相关部门处理。相关工作人员已与您取得联系，将该项目进展情况与您进行了沟通。感谢您对我们工作的理解和支持！,河北省
留言对象：河北省委书记倪岳峰,我省高三学生什么时候开学,建言,教育,办理中,2023-08-14 10:44,您好！我是河北省一名高三学生的家长，现在已经8月中旬，往年的这个时间，高三学生已经返校进入紧张的复习备战明年6的高考，今年为何迟迟不开学？咱们省是高考大省，考生多，竞争激烈，现在剩下的时间不多了，晚一天开学就荒废一天的时间，请领导百忙之中关心一下高三学生的学习生活，万分感谢！,认领交办,2023-08-17 11:59,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,关于报考检察官助理建议,建言,就业,办理中,2023-08-13 22:07,"尊敬的倪书记：您好，对于全日制普通高等学校非法学的，但自学考试为法学的法律硕士（非法学）专业学生报考河北省检察官助理专业受限，自从2020年以来河北省检察官助理限制考生必须为普通高等学校法学专业，建议改良为：本科为法学类专业+研究生为法学类、法律专业+通过司法考试或者法律职业资格考试A证。理由如下：
1.从法律事务处理能力来件：法律硕士的应用性很强，这也是国家设置该专业的目的，学生都去过法院或检察院实习（学校必修课，否则无法毕业），法律事务处理能力比本科普通高等学校法学类专业学生强很多；
2.从专业知识储备来讲，法律硕士（非法学）研究生是全日制三年制的，能考入五院四系、985/211和双一流院校的法律硕士其知识储备不比普通高等学校法学类本科低；退一步讲，可以对本科阶段专业增加补救条件：自考或者辅修等国家承认的法学类专业，本科法学专业+法律硕士（非法学）的考生知识储备和专业素养完全超过单单一个本科普通高等学校法学类学生；
3.关于司法考试或者法律职业资格证书，这个证书是衡量一个法学生法学素养的重要指标。然而从目前河北省招考条件来看，河北省检察官助理宁愿招录：普通高等学校法学类本科+法考b证，也不愿意要：法学类本科+法律硕士（非法本）+法考a证的考生，后者不论是专业知识储备还是法律事务处理能力都远胜前者；
4.从河北省高等学校教育资源来讲，河北省高等学校教育资源比较差，没有985高校，唯一一所211学校还是在天津，985/211优质大学生缺乏，解决办法除了引进增量（如石家庄人才卡政策），还可以改进河北本地存量，鼓励存量大学生去985/211大学进修后回来建设家乡河北，并且后者比引进大学生具有天然优势，就是能留下来，人才流失非常少，离职率低，因为家在这里。希望能给予法律硕士（非法本）虽然本科专业不是普通高等学校法学类的，在985/211、双一流学校全日制学习进修后的考生一个从事检察官助理的机会，共同建设美丽河北。
5.从司法实践来看，其他省份检察官助理招考，例如高校云集的武汉市，对于检察官助理报考条件并无本科普通高等学校法学类的限制，其检察院的办案质量也并未因此下降反而上升。
希望领导认真考虑我的建议，给有知识、有能力、有志从事检察工作的青年更多机会。
热切盼望得到您的回复。",认领交办,2023-08-15 10:35,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,定州市地道桥积水问题,建言,城建,已办理,2023-08-11 23:44,几次回老家，印象中遇到大雨，地道桥位置都积水严重，无法通行车辆，滞留车站多者6-7个小时，尤其晚上公交和社会车辆都无法通行，希望能改进道路措施,定州市委,2023-08-28 15:30,网民您好！您的留言我们已收悉。我们已转交通、城管等部门认真研究核处，并将具体情况与您沟通说明。经核实，在强降雨天气来临时，为保障行人及车辆通行安全，相关部门会启动临时交通管制，通过雨水泵抽排雨水，加速地道桥积水排出，从而减少行人和车辆通行等待时间。同时，我市正在地道桥处建设雨水泵站，待雨水泵站建成及下游排水管网完善后将大力缓解地道桥积水问题。感谢您对我们工作的理解和支持，祝您身体健康、生活愉快！,河北省
留言对象：河北省委书记倪岳峰,防洪救灾,建言,政务,办理中,2023-08-11 06:41,书记好，这次洪水让我省很多地方受灾被困，牵动了全国人民的心，受灾地区大部分在平原。我建议，在涿州的两条主要河流上游，靠近山区的位置建设两个中型水库，把水留住，可以一举多得，请书记斟酌！书记辛苦。,认领交办,2023-08-14 09:00,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
留言对象：河北省委书记倪岳峰,曲周县宣和壹号院虚假宣传、顶层质量与宣传不符,建言,城建,已办理,2023-08-10 16:04,尊敬的领导，我是曲周县宣和壹号院跃层业主，于2022年购买的宣和壹号院跃层房产，当时销售员带我们看了装修好的样板间及毛坯房，当时看房子质量不错就签订了购买合同，合同上约定于2023年1月31日交房，到约定的交房日期后没有收到开发商任何电话或者书面通知，到房子实地查看后发现如下问题：一、房子虽然主题已完工但后期的工程量巨大不知道什么时候能达到交付标准；二、顶层地面上出现一个向上凸起的四米多长三十公分左右高的承重梁贯穿整个客厅和卧室（当时看样板间及毛坯房时均没有这个梁）。三、顶层的屋顶跟当时宣传的也不一样，当时看的毛坯房样板间房顶都是水泥现浇顶，现在即将交付的房屋顶层确是用彩钢代替水泥现浇顶，销售员也承认当时销售的时候没有这个梁顶部也不是这个顶（有录音为证）。四、顶层当时承诺的是有水、电、暖气，但已交房的部分顶层用户有的有地暖有的没有，开发商的回应是施工方弄错了。存在上述问题的涉及宣和壹号院二号院三十多栋楼近百名业主，我们多次跟开发商交涉未果，投诉至曲周县住建部门也未得到任何实质性解决，购买房产基本上耗业主们尽全部财产，到头来确出现这样的问题希望领导为我们做主维护广大老百姓的切身利益。附件有存在问题的现场照片,曲周县委办公室,2023-08-28 15:30,网民您好！收到您的留言后，曲周县住建局组织开发企业负责人与业主代表进行了沟通协商，并安排专人详细向您告知了相关问题处理情况。感谢您对我们工作的理解与支持！,河北省邯郸市曲周县
留言对象：河北省委书记倪岳峰,石家庄铁道学院周末及下班时间不允许群进去跑步,建言,文娱,已办理,2023-08-08 09:47,石家庄铁道学院周末及下班时间不允许进去健身，请领导协调满足群众周末或者下班时间进校园跑步的需求,河北省教育厅,2023-08-18 08:23,"网友您好：
   您的留言已收悉，经石家庄铁道大学调查核实，情况如下：目前情况：一是学校面积小，在校生有两万多人，学生多，管理难度较大；二是经学校相关工作人员了解到石家庄市内的省属高校也未对群众进行完全开放；三是近年石家庄市建立了大量的群众体育设施，能够满足周边居民健身的需要。
校外单位和个人如开展与学校相关的业务需要进入校园，可按照访客系统流程进行预约，学校有关业务部门审批通过后进入校园开展业务和进行交流。如为本校校友，毕业5年内的校友可直接通过学校“石铁大校园卡”公众号身份码刷门禁入校，5年以上的校友可通过公众号访客预约进校。
学校十分理解周边居民想要进校运动的需求，也希望构建良好的校园一社区关系，学校将会根据实际情况，择机调整相关规定，尽可能实现校园资源与社会共享。感谢您的关注与支持。",河北省
留言对象：河北省委书记倪岳峰,铺设燃气管道设计漏洞希望帮助解决,建言,三农,已办理,2023-08-07 14:35,尊敬的领导你好:我是沧州市泊头市郝村镇西卢庄村村民，由于泊头市奥*燃气管道铺设设计方案不周，导致我家院墙裂痕严重，在我家院墙南面有几棵大树树龄已经四五十年了，安装燃气管道的时候因为不在家施工队就在树和院墙之间架了管道支架，当年院墙就被支的裂了缝，自去年10月份我就给村支书讲过需要维修解决，至今都没有解决，希望领导帮助解决,泊头市委办公室,2023-08-21 08:52,网友您好！经核查，您反映的问题已解决。工作人员向您反馈了相关情况。感谢您对我们工作的支持！,河北省沧州市泊头市
留言对象：河北省委书记倪岳峰,道路坑坑洼洼,建言,交通,已办理,2023-08-07 11:03,河北省保定市清苑区温留路（清苑区王盘--大柳树路段）。今年年初这条路基本整体竣工，后续排水和照明工程近几个月才整体完工。但是刚刚修缮不久的道路现在已经变的破烂不堪，刚刚修的道路现在已经不平整，跌宕起伏，而且多出已经出现的大大小小的坑洞。大的坑洞直径已经超过了30公分。请相关部门抓紧修缮，确保道路使用年限。同时也查找原因，为什么刚刚完工的道路就成了这样，到底是哪个方面出现的问题，加以防范改正。请主要领导重视，确保广大人民群众安全出行，为老百姓营造美好生活氛围。,清苑区委,2023-08-14 08:45,网民您好！经区养路工区调查核实，您反映的路段属于保台线（G240）保衡路交叉口至津石高速公路段修复养护（大修）工程，目前处于缺陷责任期，未竣工验收。经技术人员现场勘查，大修工程不存在质量问题。针对路面破损情况区养路工区制定了修复计划，待汛期过后立即进行施工，保障群众出行安全。感谢您理解和支持我们的工作，祝生活愉快！,河北省保定市清苑区
留言对象：河北省委书记倪岳峰,人才绿卡,建言,就业,已办理,2023-08-06 23:45,尊敬的领导您好。希望在河北省教育科学研究院工作也能申请人才卡,河北省委组织部,2023-08-17 08:50,网友，您好！您的问题已由省委组织部业务处室电话回访答复，感谢您对人才工作的关注，敬祝生活愉快！,河北省
留言对象：河北省委书记倪岳峰,关于强直性脊柱炎不属于农保慢性病,建言,医疗,已办理,2023-08-05 23:37,你好书记，我是一名衡水市的一名普通农民，我于今年患上强直性脊椎炎，因生物制剂需要长久注射，经济能力有限，希望省长能开展对慢性病强直性脊柱炎的开通农合医保的政策,衡水市委办,2023-08-18 08:26,网民您好，经调查，针对您所反映的将强直性脊柱炎纳入农合医保慢性病问题，市医疗保障局工作人员根据有关政策规定已向您作详细的解释说明。感谢您对我们工作的支持和监督，祝您生活愉快！,河北省衡水市
留言对象：河北省委书记倪岳峰,石家庄市栾城区楼底镇东许营村滨河水岸退款,建言,城建,已办理,2023-08-02 23:44,"2017年花五成首付购买楼底镇东许营村滨河水岸，合同18年交房，至今未盖，房没有，钱非得等接盘后才给退款。
今提出建议:老百姓攒点钱不容易，全都砸进买房了。希望能督导相关接到投诉的部门等真的退款或者确定退款具体时间方式通知到各个业主，再结案，否则就需要定期回访，直到退款结束才能结案。",栾城区委,2023-08-16 11:02,网民您好！栾城区政府已成立工作专班，积极推进相关工作。工作人员已与您联系并建立沟通机制。感谢您对我们工作的理解和支持！,河北省
留言对象：河北省委书记倪岳峰,永年区建安街车位规划不合理,建言,城建,办理中,2023-08-02 20:27,邯郸市永年区建安街车位规划非常不合理，现在可以说家家户户都有车而且车位资源非常紧缺，可是永年建安街的车位非常不合理，本来能规划五辆车的只规划了两三辆车的车位，造成许多车辆因没有车位被罚款。,认领交办,2023-08-04 16:34,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省邯郸市永年区
留言对象：河北省委书记倪岳峰,建议加强管理,建言,城建,办理中,2023-08-01 15:41,领导好！我家住张家口市万全区西豪丽景小区，该小区周边经常有一些小商贩摆摊经营，建议有关部门把周边的小商贩统一管理，规范经营，增加城市美誉度,认领交办,2023-08-04 10:45,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省张家口市万全区
留言对象：河北省省长王正谱,问题未解决,建言,治安,办理中,2023-08-30 20:49,领导您好，作为一名普通的社会公民，我觉得有必要为河北省社区治理贡献自己的一份力量，我于2023年7月15日留言针对部分老旧小区飞线充电消防隐患进行投诉建议，之后接到过一次职责相关部门的电话，然后就看到办结回复，回复中写责成相关社区整顿，加强教育，但我看到的是距今两月我反映小区内飞线充分从未中断和停止，也从未有相关部门查处和整顿，希望领导重视，彻底解决此事,认领交办,2023-09-04 08:57,您的留言我们已收到！您反映的问题已转相关部门处理，感谢您的宝贵留言！,河北省
